Condition,Cycle time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Dosage time,Injection time,Material cushion,Maximum injection pressure,Mould temperature control unit 1,Switch-over volume
Condition1,29.242,291.75,312.09,306.65,304.98,317.6,2.94,0.244,1.010734,1482.14,88.58,1.37334
Condition1,28.96666666666667,292.04,314.79,325.63,305.01,314.01,3.004,0.244,0.951653,1428.39,94.05,1.42334
Condition1,28.942,300.85,306.1,335.45,312.56,336.25,2.954,0.234,0.902977,1567.63,91.75,1.47334
Condition1,28.822,276.33,300.84,317.69,312.94,326.15,3.0,0.244,0.886183,1421.75,88.2,1.34334
Condition1,30.17,278.12,296.06,334.37,334.69,325.25,2.88,0.234,0.87052,1501.2,91.75,1.34334
Condition1,29.57,300.04,303.96,324.69,333.1,327.65,2.864,0.224,0.948255,1486.9692000000002,85.93,1.47334
Condition1,29.6,288.9092,294.77,309.23,320.88,326.1429166666667,2.814,0.244,0.888255,1460.55,87.03,1.44334
Condition1,27.592,283.73,313.05,316.72,335.0,314.41,2.816,0.224,0.88599,1540.74,90.15,1.43334
Condition1,28.96666666666667,297.19,306.76079999999996,311.92,310.62,335.4,2.816,0.224,0.9145825200000001,1455.87,90.79,1.36334
Condition1,27.552,275.62,320.02,313.4,313.72,319.02,2.854,0.234,0.944858,1460.58,90.71,1.39334
Condition1,27.98,303.26,306.51,333.28,317.62080000000003,336.36,2.98,0.244,0.896183,1553.93,87.87,1.41774
Condition1,29.01,285.72,307.56,327.89,306.58,326.1429166666667,2.91,0.2348,0.91411,1448.01,89.01,1.44334
Condition1,27.812,276.46,307.33,317.94,314.04,338.29,2.8998399999999998,0.234,0.868255,1497.64,92.66,1.34334
Condition1,29.684,287.81,303.45,304.77,310.1,319.24,2.8,0.234,0.898255,1515.95,87.61,1.40334
Condition1,28.9,280.98,314.43,334.86,323.44,321.02,2.762,0.234,0.91599,1542.15,86.91,1.45334
Condition1,28.122,300.8,301.05,314.36,310.71,335.78,3.076,0.224,0.924858,1428.8,86.15,1.48334
Condition1,28.544,293.06,318.29,305.88,332.19,321.79,2.916,0.234,0.868255,1466.93,88.0,1.46334
Condition1,28.96666666666667,278.18,297.78,314.24,317.62080000000003,312.48,2.916,0.244,0.93052,1505.96,88.11,1.43334
Condition1,29.972,283.19,306.62,310.54,315.11,340.78,2.808,0.2348,0.87052,1491.43,89.4276,1.40334
Condition1,28.924,288.9092,306.76079999999996,309.74,310.12,330.33,2.8998399999999998,0.244,0.914858,1458.01,90.85,1.48334
Condition1,28.772,293.03,314.12,309.85,312.21,338.17,2.938,0.234,0.962977,1486.9692000000002,91.6,1.41774
Condition1,29.892,297.58,318.02,319.51,326.65,326.1429166666667,2.896,0.224,0.941097,1591.1,85.57,1.48334
Condition1,29.232,293.5,318.86,317.69,332.93,334.23,2.776,0.224,0.91505,1425.05,87.9,1.38334
Condition1,30.212,297.86,305.7,317.96,308.24,330.27,3.002,0.244,0.9145825200000001,1492.56,89.4276,1.42334
Condition1,28.72,276.51,300.31,304.46,306.21,312.12,2.826,0.244,0.913725,1516.22,91.32,1.36334
Condition1,30.03,282.42,292.41,326.9,321.01,315.47,2.986,0.224,0.92411,1487.76,93.45,1.41334
Condition1,27.904,296.7,294.9,312.01,327.48,325.36,2.962,0.234,0.916375,1433.88,89.74,1.40334
Condition7,29.454,277.81,285.16,305.56,301.14,300.38,2.952,0.194,0.91146,1813.36,88.17,1.46655
Condition7,29.584,277.16,308.88,311.4,324.21,325.08,2.84630303030303,0.194,0.920328,1752.23,92.06,1.41881
Condition7,28.124,283.26,303.47,323.12,299.83,321.58,2.936,0.194,0.91146,1714.07,91.33,1.37542
Condition7,28.614,287.5,301.62,301.03,312.74,322.92,2.692,0.194,0.88146,1727.98,91.42,1.36542
Condition7,30.214,289.1,294.89,315.64,308.57,302.28,2.742,0.194,0.93693,1705.06,89.42,1.38542
Condition7,28.33,289.21,305.13,313.27,307.25,318.73,2.78,0.194,0.930328,1678.73,90.36,1.41542
Condition7,29.924,271.89,290.95,298.59,318.0,308.4,2.858,0.194,0.882593,1748.25,93.15,1.39542
Condition7,29.754,283.62,294.49,323.83,305.99,305.57,2.712,0.194,0.88599,1787.19,90.77,1.40655
Condition7,28.464,289.63,307.88,317.58,310.14,314.6,2.782,0.194,0.894858,1795.19,90.95,1.47542
Condition7,29.392545454545452,281.5527272727273,296.6,319.83,297.52,307.61,2.91,0.194,0.93146,1703.45,89.97909090909091,1.4171618181818182
Condition7,29.844,293.11,284.69,310.54545454545456,309.1187878787879,318.34,2.884,0.194,0.890328,1774.17,92.93,1.42881
Condition7,29.134,272.66,284.34,319.18,313.12,314.01,2.758,0.194,0.862593,1666.61,86.51,1.47542
Condition7,30.062,292.18,298.04,296.73,298.27,326.61,2.966,0.194,0.9045656363636364,1687.46,87.92,1.36881
Condition7,30.244,288.76,307.48,295.16,305.66,310.96,2.748,0.194,0.92146,1719.34,89.97909090909091,1.40542
Condition7,29.256,266.7,300.09,315.34,312.4,311.81,2.876,0.194,0.95505,1678.72,90.44,1.47768
Condition7,30.222,288.25,295.42424242424244,307.8,298.8,313.52,2.86,0.194,0.85693,1735.325,86.46,1.4171618181818182
Condition7,29.452,286.7,283.13,302.69,300.33,309.44,2.81,0.194,0.870328,1733.26,94.18,1.40542
Condition7,29.814,281.5527272727273,303.53,297.22,302.33,325.53,2.876,0.194,0.908447,1769.76,86.78,1.39881
Condition7,28.774,273.19,282.95,315.82,320.91,329.54,2.808,0.194,0.94146,1740.38,90.71,1.33542
Condition7,29.114,285.44,289.59,299.81,322.08,324.55,2.94,0.194,0.909195,1713.25,87.31,1.41542
Condition7,29.964,268.25,288.11,321.63,301.23,315.4779411764706,2.85,0.194,0.859195,1682.94,87.32,1.40655
Condition7,28.984,266.74,289.17,310.93,323.94,319.03,2.958,0.194,0.9045656363636364,1767.86,93.96,1.44655
Condition7,29.392545454545452,289.78,290.37,320.36,304.26,330.15,2.89,0.194,0.914858,1735.325,88.61,1.45768
Condition7,29.684,293.54,286.15,300.96,302.9,315.06,2.84630303030303,0.194,0.888447,1706.79,93.41,1.36768
Condition7,29.774,267.56,307.75,304.08,310.3,311.19,2.726,0.194,0.87146,1686.72,90.79,1.45542
Condition7,29.816,283.6,293.24,319.13,309.1187878787879,308.17,2.96,0.194,0.930328,1833.07,85.86,1.41334
Condition7,29.222,287.41,289.62,297.32,312.33,329.63,2.706,0.194,0.91146,1755.03,90.59,1.39542
Condition7,29.586,283.49,297.44,316.95,319.58,321.91,2.906,0.194,0.93146,1800.86,94.29,1.46542
Condition7,29.722,270.63,296.93,316.36,299.75,324.54,2.866,0.194,0.872593,1742.91,85.99,1.44542
Condition7,27.486,282.25,294.82,311.77,319.36,303.23,2.804,0.194,0.900328,1688.19,92.24,1.34334
Condition7,29.708,286.48,308.33,298.83,318.28,315.29,2.872,0.194,0.939388,1796.39,92.25,1.42655
Condition7,29.154,272.62,295.42424242424244,306.65,308.04,306.68,2.866,0.194,0.864858,1735.325,86.81,1.41655
Condition7,29.934,286.69,294.79,310.54545454545456,324.14,302.78,2.87,0.194,0.937315,1688.62,85.55,1.47655
Condition7,29.194,273.67,299.92,321.23,302.49,310.19,2.79,0.194,0.93599,1782.48,90.84,1.37655
